uuid,source,orig_id,lat,lon,hour,heading,place,sidewalk_pct
f8c1badf-9058-4ac7-838c-fc5d724c98bb,Mapillary,780859865912793,1.2999444398833615,103.80061447620392,14,90.0,residential_neighborhood,0.009038114486061732
dee05105-3feb-4377-855c-46ee7a41b208,Mapillary,867997107118044,1.2969840415062492,103.7998366355896,14,295.27293389567,hospital,0.049803114372650795
b97948c7-a7af-4ff8-ba97-9f8fbf07897e,Mapillary,496229264853370,1.3008561560761365,103.80037307739258,15,31.589052384373,hospital,0.02451925671862963
144424e9-857e-440b-a4bc-fd979a4be00d,Mapillary,666863544123797,1.304358215798544,103.80166590213776,11,97.854079310729,residential_neighborhood,0.008597939059702155
6c3b1555-4464-42ec-8d2a-7d527529f922,Mapillary,1524548114414223,1.3008293408987015,103.80076467990877,15,301.49820430387,campus,0.015197882940819916
1e7a40c0-41a9-470a-a1bb-70fab7c33184,Mapillary,475926853465723,1.2966247175543373,103.79966497421265,14,295.29210456122,amphitheater,0.16553371861168048
7ca24602-9136-42d9-9fa9-9f01be492e41,Mapillary,946594496118079,1.298260445579487,103.8002872467041,14,283.74938263403,hospital,0.04332990901085999
2bf39502-b160-452a-86d1-eaae4420cafd,Mapillary,539613937053254,1.2991614363020716,103.8024491071701,14,45.315839225017,industrial_area,0.14536829123284575
4df38ad6-20d2-418a-862a-d2ce1356638c,Mapillary,1808440786001390,1.3030925408710343,103.80132794380188,15,279.32430187458,picnic_area,0.026247648887181507
bad323b4-8e47-4577-bed1-ccae403180f4,Mapillary,3858954850862060,1.3015050832832458,103.80133330821992,7,198.3666,parking_lot,0.004501823342421887
a574e29f-bc2a-43fd-8944-93f6726c1b66,Mapillary,1754479088078077,1.301660611266783,103.80105435848236,15,278.79774689222,playground,0.030175515043422745
633c006b-2056-4287-bdd4-85e798ebd094,Mapillary,178057404196798,1.297230741503384,103.79994928836824,14,293.37019872536,industrial_area,0.037238644468245194
508f39d3-7f3c-493f-a9e1-c115e7687393,Mapillary,1290376121360470,1.2990756276756628,103.8028246164322,14,123.29358377439,parking_lot,7.3123468977368285e-06
